"Date","Price","Open","High","Low","Change %"
"Jun 12, 2017","10.9319","10.9304","10.9635","10.9239","0.01%"
"Jun 09, 2017","10.9306","10.9422","10.9520","10.9185","-0.08%"
"Jun 08, 2017","10.9398","10.9529","10.9685","10.9187","-0.15%"
"Jun 07, 2017","10.9558","10.9612","10.9716","10.9299","-0.05%"
"Jun 06, 2017","10.9618","10.9520","10.9686","10.9438","0.08%"
"Jun 05, 2017","10.9528","10.9659","10.9718","10.9419","-0.19%"
"Jun 02, 2017","10.9734","10.9405","10.9764","10.9357","0.34%"
"Jun 01, 2017","10.9366","10.9477","10.9676","10.9269","-0.11%"
"May 31, 2017","10.9483","10.9271","10.9573","10.9152","0.19%"
"May 30, 2017","10.9276","10.9168","10.9390","10.8949","0.09%"
"May 29, 2017","10.9177","10.9207","10.9316","10.9041","-0.07%"
"May 26, 2017","10.9255","10.9345","10.9457","10.9106","-0.08%"
"May 25, 2017","10.9345","10.9385","10.9529","10.9240","-0.04%"
"May 24, 2017","10.9389","10.9261","10.9430","10.9108","0.12%"
"May 23, 2017","10.9253","10.9443","10.9614","10.9139","-0.18%"
"May 22, 2017","10.9455","10.9330","10.9570","10.8969","0.10%"
"May 19, 2017","10.9350","10.8919","10.9428","10.8846","0.38%"
"May 18, 2017","10.8938","10.9191","10.9254","10.8785","-0.18%"
"May 17, 2017","10.9137","10.8853","10.9165","10.8740","0.27%"
"May 16, 2017","10.8840","10.8476","10.8966","10.8393","0.38%"
"May 15, 2017","10.8432","10.8218","10.8522","10.8188","0.14%"
"May 12, 2017","10.8283","10.8024","10.8350","10.7908","0.27%"
"May 11, 2017","10.7992","10.8029","10.8120","10.7752","-0.04%"
"May 10, 2017","10.8037","10.8056","10.8209","10.7902","-0.02%"
"May 09, 2017","10.8059","10.8256","10.8314","10.7948","-0.18%"
"May 08, 2017","10.8257","10.8524","10.8863","10.8156","-0.26%"
"May 05, 2017","10.8536","10.8510","10.8612","10.8232","0.05%"
"May 04, 2017","10.8477","10.8027","10.8492","10.7963","0.37%"
"May 03, 2017","10.8076","10.8273","10.8377","10.8056","-0.17%"
"May 02, 2017","10.8264","10.8193","10.8375","10.8027","0.10%"
"May 01, 2017","10.8157","10.8195","10.8324","10.7967","-0.00%"
"Apr 28, 2017","10.8160","10.8031","10.8391","10.7952","0.10%"
"Apr 27, 2017","10.8047","10.8187","10.8401","10.7918","-0.11%"
"Apr 26, 2017","10.8170","10.8251","10.8371","10.7909","-0.07%"
"Apr 25, 2017","10.8248","10.8027","10.8358","10.7882","0.19%"
"Apr 24, 2017","10.8038","10.9397","10.9547","10.7828","0.53%"
"Apr 21, 2017","10.7468","10.7386","10.7542","10.7226","0.04%"
"Apr 20, 2017","10.7427","10.7411","10.7707","10.7335","0.01%"
"Apr 19, 2017","10.7416","10.7529","10.7540","10.7299","-0.06%"
"Apr 18, 2017","10.7480","10.7077","10.7517","10.6973","0.34%"
"Apr 17, 2017","10.7111","10.6994","10.7325","10.6873","0.12%"
"Apr 14, 2017","10.6980","10.7042","10.7173","10.6939","-0.03%"
"Apr 13, 2017","10.7010","10.7182","10.7281","10.6873","-0.21%"
"Apr 12, 2017","10.7230","10.7003","10.7294","10.6874","0.24%"
"Apr 11, 2017","10.6968","10.6926","10.7111","10.6784","0.01%"
"Apr 10, 2017","10.6957","10.6905","10.7049","10.6684","0.04%"
"Apr 07, 2017","10.6913","10.7071","10.7350","10.6783","-0.19%"
"Apr 06, 2017","10.7119","10.7179","10.7369","10.7037","-0.07%"
"Apr 05, 2017","10.7195","10.7297","10.7400","10.7022","-0.05%"
"Apr 04, 2017","10.7248","10.7241","10.7308","10.7012","0.03%"
"Apr 03, 2017","10.7219","10.7169","10.7400","10.7059","0.05%"
"Mar 31, 2017","10.7165","10.7219","10.7393","10.7064","-0.08%"
"Mar 30, 2017","10.7250","10.7649","10.7706","10.7189","-0.35%"
"Mar 29, 2017","10.7622","10.7724","10.7870","10.7247","-0.15%"
"Mar 28, 2017","10.7781","10.8012","10.8089","10.7672","-0.23%"
"Mar 27, 2017","10.8027","10.7668","10.8440","10.7648","0.27%"
"Mar 24, 2017","10.7736","10.7668","10.7903","10.7541","0.06%"
"Mar 23, 2017","10.7669","10.7729","10.7788","10.7569","-0.03%"
"Mar 22, 2017","10.7704","10.7737","10.7844","10.7591","-0.08%"
"Mar 21, 2017","10.7787","10.7506","10.7895","10.7363","0.27%"
"Mar 20, 2017","10.7492","10.7459","10.7849","10.7339","0.00%"
"Mar 17, 2017","10.7492","10.7647","10.7737","10.7355","-0.13%"
"Mar 16, 2017","10.7637","10.7454","10.7782","10.7210","0.14%"
"Mar 15, 2017","10.7485","10.6937","10.7754","10.6847","0.47%"
"Mar 14, 2017","10.6987","10.7144","10.7240","10.6743","-0.16%"
"Mar 13, 2017","10.7159","10.7279","10.7482","10.6875","-0.06%"
"Mar 10, 2017","10.7221","10.6927","10.7513","10.6768","0.32%"
"Mar 09, 2017","10.6875","10.6645","10.7051","10.6490","0.16%"
"Mar 08, 2017","10.6703","10.6829","10.6914","10.6478","-0.10%"
"Mar 07, 2017","10.6808","10.6900","10.7033","10.6616","-0.06%"
"Mar 06, 2017","10.6868","10.7030","10.7155","10.6593","-0.20%"
"Mar 03, 2017","10.7085","10.6588","10.7115","10.6481","0.49%"
"Mar 02, 2017","10.6562","10.6725","10.6766","10.6373","-0.16%"
"Mar 01, 2017","10.6736","10.6819","10.6930","10.6380","-0.10%"
"Feb 28, 2017","10.6844","10.6870","10.7142","10.6639","-0.02%"
"Feb 27, 2017","10.6870","10.6707","10.7155","10.6573","0.12%"
"Feb 24, 2017","10.6745","10.6951","10.7126","10.6684","-0.14%"
"Feb 23, 2017","10.6895","10.6727","10.6983","10.6578","0.14%"
"Feb 22, 2017","10.6744","10.6700","10.6916","10.6265","0.06%"
"Feb 21, 2017","10.6682","10.6937","10.7021","10.6349","-0.30%"
"Feb 20, 2017","10.7000","10.7112","10.7231","10.6795","0.01%"
"Feb 17, 2017","10.6989","10.7294","10.7416","10.6867","-0.21%"
"Feb 16, 2017","10.7210","10.6990","10.7401","10.6652","0.22%"
"Feb 15, 2017","10.6976","10.6872","10.7171","10.6342","0.09%"
"Feb 14, 2017","10.6877","10.6883","10.7113","10.6403","-0.03%"
"Feb 13, 2017","10.6907","10.7127","10.7255","10.6666","-0.30%"
"Feb 10, 2017","10.7230","10.7254","10.7335","10.6402","0.04%"
"Feb 09, 2017","10.7188","10.7352","10.7537","10.6520","-0.17%"
"Feb 08, 2017","10.7371","10.7302","10.7688","10.6476","0.06%"
"Feb 07, 2017","10.7302","10.7525","10.7630","10.6547","-0.22%"
"Feb 06, 2017","10.7540","10.7697","10.7896","10.7049","-0.19%"
"Feb 03, 2017","10.7749","10.7668","10.7926","10.6893","0.12%"
"Feb 02, 2017","10.7615","10.7636","10.7883","10.7032","-0.02%"
"Feb 01, 2017","10.7638","10.7727","10.7841","10.6845","-0.09%"
"Jan 31, 2017","10.7734","10.7099","10.8001","10.6680","0.54%"
"Jan 30, 2017","10.7159","10.7412","10.7834","10.6438","-0.28%"
"Jan 27, 2017","10.7455","10.7320","10.7703","10.6985","0.18%"
