S̩ance,Instrument,Variation
22/07/2002,2241.18,-0.84
23/07/2002,2237.12,-0.18
24/07/2002,2260.5,1.05
25/07/2002,2264.54,0.18
26/07/2002,2267.12,0.11
29/07/2002,2291.81,1.09
31/07/2002,2350.91,2.58
01/08/2002,2383.21,1.37
02/08/2002,2388.06,0.2
05/08/2002,2386.49,-0.07
06/08/2002,2352.62,-1.42
07/08/2002,2349.68,-0.12
08/08/2002,2349.76,0.0
09/08/2002,2334.51,-0.65
12/08/2002,2333.42,-0.05
13/08/2002,2362.57,1.25
15/08/2002,2359.67,-0.12
16/08/2002,2366.48,0.29
19/08/2002,2366.48,0.0
22/08/2002,2333.89,-1.38
23/08/2002,2324.43,-0.41
26/08/2002,2324.43,0.0
27/08/2002,2345.7,0.92
28/08/2002,2361.82,0.69
29/08/2002,2354.77,-0.3
30/08/2002,2364.71,0.42
02/09/2002,2379.43,0.62
03/09/2002,2384.74,0.22
04/09/2002,2373.09,-0.49
05/09/2002,2350.15,-0.97
06/09/2002,2358.27,0.35
09/09/2002,2354.33,-0.17
10/09/2002,2353.88,-0.02
11/09/2002,2340.55,-0.57
12/09/2002,2372.21,1.35
13/09/2002,2381.82,0.41
16/09/2002,2372.08,-0.41
17/09/2002,2367.89,-0.18
18/09/2002,2358.57,-0.39
19/09/2002,2338.33,-0.86
20/09/2002,2343.27,0.21
23/09/2002,2315.73,-1.18
24/09/2002,2299.67,-0.69
25/09/2002,2273.65,-1.13
26/09/2002,2285.12,0.5
27/09/2002,2274.53,-0.46
30/09/2002,2313.51,1.71
01/10/2002,2311.93,-0.07
02/10/2002,2318.09,0.27
03/10/2002,2318.32,0.01
04/10/2002,2318.5,0.01
07/10/2002,2323.55,0.22
08/10/2002,2326.89,0.14
09/10/2002,2293.03,-1.45
10/10/2002,2298.43,0.24
11/10/2002,2298.15,-0.01
14/10/2002,2306.63,0.37
15/10/2002,2293.68,-0.56
16/10/2002,2288.23,-0.24
17/10/2002,2289.71,0.06
18/10/2002,2282.11,-0.33
21/10/2002,2241.64,-1.77
22/10/2002,2262.29,0.92
23/10/2002,2270.97,0.38
24/10/2002,2246.98,-1.06
25/10/2002,2261.81,0.66
28/10/2002,2263.38,0.07
29/10/2002,2256.92,-0.29
30/10/2002,2236.89,-0.89
31/10/2002,2235.19,-0.08
01/11/2002,2230.4,-0.21
04/11/2002,2220.89,-0.43
05/11/2002,2221.35,0.02
07/11/2002,2216.07,-0.24
08/11/2002,2203.8,-0.55
11/11/2002,2205.14,0.06
12/11/2002,2219.19,0.64
13/11/2002,2252.66,1.51
14/11/2002,2283.12,1.35
15/11/2002,2240.59,-1.86
19/11/2002,2201.37,-1.75
20/11/2002,2203.05,0.08
21/11/2002,2212.22,0.42
22/11/2002,2240.85,1.29
25/11/2002,2248.77,0.35
26/11/2002,2271.99,1.03
27/11/2002,2259.0,-0.57
28/11/2002,2276.44,0.77
29/11/2002,2277.77,0.06
02/12/2002,2246.04,-1.39
03/12/2002,2265.07,0.85
04/12/2002,2253.0,-0.53
05/12/2002,2259.63,0.29
09/12/2002,2273.97,0.63
10/12/2002,2294.07,0.88
11/12/2002,2312.3,0.79
12/12/2002,2329.19,0.73
13/12/2002,2330.18,0.04
16/12/2002,2354.55,1.05
17/12/2002,2388.08,1.42
18/12/2002,2398.94,0.45
19/12/2002,2407.24,0.35
20/12/2002,2413.44,0.26
23/12/2002,2413.36,0.0
24/12/2002,2403.62,-0.4
25/12/2002,2387.74,-0.66
26/12/2002,2414.13,1.11
27/12/2002,2410.76,-0.14
30/12/2002,2374.33,-1.51
31/12/2002,2370.96,-0.14
02/01/2003,2368.19,-0.12
03/01/2003,2363.89,-0.18
06/01/2003,2370.35,0.27
07/01/2003,2361.47,-0.37
08/01/2003,2371.75,0.44
09/01/2003,2320.0,-2.18
10/01/2003,2324.1,0.18
13/01/2003,2329.03,0.21
14/01/2003,2336.14,0.31
15/01/2003,2335.69,-0.02
16/01/2003,2351.44,0.67
17/01/2003,2348.36,-0.13
20/01/2003,2341.84,-0.28
21/01/2003,2344.88,0.13
22/01/2003,2338.14,-0.29
23/01/2003,2342.28,0.18
24/01/2003,2350.27,0.34
27/01/2003,2356.84,0.28
28/01/2003,2362.83,0.25
29/01/2003,2366.21,0.14
30/01/2003,2374.58,0.35
31/01/2003,2367.42,-0.3
03/02/2003,2367.33,0.0
04/02/2003,2374.61,0.31
05/02/2003,2373.03,-0.07
06/02/2003,2382.15,0.38
07/02/2003,2400.76,0.78
10/02/2003,2406.32,0.23
11/02/2003,2391.63,-0.61
14/02/2003,2407.23,0.65
17/02/2003,2405.47,-0.07
18/02/2003,2399.28,-0.26
19/02/2003,2404.3,0.21
20/02/2003,2402.86,-0.06
21/02/2003,2414.31,0.48
24/02/2003,2419.19,0.2
25/02/2003,2423.74,0.19
26/02/2003,2425.52,0.07
27/02/2003,2433.52,0.33
28/02/2003,2432.96,-0.02
03/03/2003,2451.36,0.76
04/03/2003,2437.84,-0.55
06/03/2003,2445.99,0.33
07/03/2003,2444.35,-0.07
10/03/2003,2387.39,-2.33
11/03/2003,2379.21,-0.34
12/03/2003,2353.03,-1.1
13/03/2003,2311.25,-1.78
14/03/2003,2299.86,-0.49
17/03/2003,2294.85,-0.22
18/03/2003,2298.76,0.17
19/03/2003,2296.09,-0.12
20/03/2003,2305.43,0.41
21/03/2003,2313.0,0.33
24/03/2003,2304.2,-0.38
25/03/2003,2307.94,0.16
26/03/2003,2327.41,0.84
27/03/2003,2332.48,0.22
28/03/2003,2343.72,0.48
31/03/2003,2347.19,0.15
01/04/2003,2347.77,0.02
02/04/2003,2348.96,0.05
03/04/2003,2379.65,1.31
04/04/2003,2363.09,-0.7
07/04/2003,2363.09,0.0
08/04/2003,2361.85,-0.05
09/04/2003,2363.92,0.09
10/04/2003,2368.76,0.2
11/04/2003,2366.83,-0.08
14/04/2003,2374.99,0.34
15/04/2003,2390.7,0.66
16/04/2003,2403.7,0.54
17/04/2003,2419.03,0.64
18/04/2003,2429.01,0.41
21/04/2003,2428.62,-0.02
22/04/2003,2426.83,-0.07
23/04/2003,2436.15,0.38
24/04/2003,2432.92,-0.13
25/04/2003,2443.64,0.44
28/04/2003,2457.26,0.56
29/04/2003,2449.75,-0.31
30/04/2003,2451.44,0.07
02/05/2003,2443.04,-0.34
05/05/2003,2456.69,0.56
06/05/2003,2458.72,0.08
07/05/2003,2451.31,-0.3
08/05/2003,2456.33,0.21
09/05/2003,2471.68,0.62
12/05/2003,2476.44,0.19
13/05/2003,2476.45,0.0
16/05/2003,2467.04,-0.38
19/05/2003,2459.8,-0.29
20/05/2003,2459.33,-0.02
21/05/2003,2462.19,0.12
22/05/2003,2475.43,0.54
23/05/2003,2493.83,0.74
26/05/2003,2480.72,-0.53
27/05/2003,2495.55,0.6
28/05/2003,2482.03,-0.54
29/05/2003,2481.27,-0.03
30/05/2003,2485.3,0.16
02/06/2003,2497.76,0.5
03/06/2003,2569.97,2.89
04/06/2003,2593.96,0.93
05/06/2003,2594.39,0.02
06/06/2003,2640.8,1.79
09/06/2003,2672.98,1.22
10/06/2003,2676.22,0.12
11/06/2003,2702.91,1.0
12/06/2003,2673.81,-1.08
13/06/2003,2659.8,-0.52
16/06/2003,2644.99,-0.56
17/06/2003,2627.79,-0.65
18/06/2003,2639.06,0.43
19/06/2003,2644.69,0.21
20/06/2003,2643.3,-0.05
23/06/2003,2636.64,-0.25
24/06/2003,2637.87,0.05
25/06/2003,2627.15,-0.41
26/06/2003,2626.86,-0.01
27/06/2003,2623.59,-0.12
30/06/2003,2619.5,-0.16
01/07/2003,2584.14,-1.35
02/07/2003,2576.82,-0.28
03/07/2003,2575.69,-0.04
04/07/2003,2543.25,-1.26
07/07/2003,2536.37,-0.27
08/07/2003,2533.17,-0.13
09/07/2003,2534.12,0.04
10/07/2003,2542.33,0.32
11/07/2003,2568.65,1.04
14/07/2003,2583.89,0.59
15/07/2003,2563.48,-0.79
16/07/2003,2554.24,-0.36
17/07/2003,2566.56,0.48
18/07/2003,2573.84,0.28
21/07/2003,2571.75,-0.08
22/07/2003,2571.53,-0.01
23/07/2003,2547.39,-0.94
24/07/2003,2548.49,0.04
25/07/2003,2568.7,0.79
28/07/2003,2550.36,-0.71
29/07/2003,2555.2,0.19
31/07/2003,2561.06,0.23
01/08/2003,2566.41,0.21
04/08/2003,2580.71,0.56
05/08/2003,2587.58,0.27
06/08/2003,2590.06,0.1
07/08/2003,2598.45,0.32
08/08/2003,2595.36,-0.12
11/08/2003,2599.22,0.15
12/08/2003,2589.5,-0.37
13/08/2003,2601.6,0.47
15/08/2003,2588.35,-0.51
18/08/2003,2609.74,0.83
19/08/2003,2601.16,-0.33
22/08/2003,2599.02,-0.08
25/08/2003,2603.64,0.18
26/08/2003,2631.54,1.07
27/08/2003,2693.78,2.36
28/08/2003,2697.65,0.14
29/08/2003,2693.53,-0.15
01/09/2003,2733.84,1.5
02/09/2003,2741.92,0.3
03/09/2003,2775.3,1.22
04/09/2003,2825.47,1.81
05/09/2003,2867.33,1.48
08/09/2003,2863.59,-0.13
09/09/2003,2838.71,-0.87
10/09/2003,2807.26,-1.11
11/09/2003,2817.14,0.35
12/09/2003,2822.3,0.18
15/09/2003,2833.08,0.38
16/09/2003,2804.99,-0.99
17/09/2003,2806.27,0.05
18/09/2003,2825.17,0.67
19/09/2003,2822.99,-0.08
22/09/2003,2798.81,-0.86
23/09/2003,2719.28,-2.84
24/09/2003,2720.92,0.06
25/09/2003,2757.45,1.34
26/09/2003,2742.6,-0.54
29/09/2003,2740.63,-0.07
30/09/2003,2737.27,-0.12
01/10/2003,2771.3,1.24
02/10/2003,2763.3,-0.29
03/10/2003,2764.69,0.05
06/10/2003,2748.75,-0.58
07/10/2003,2753.71,0.18
08/10/2003,2721.18,-1.18
09/10/2003,2705.48,-0.58
10/10/2003,2702.56,-0.11
13/10/2003,2699.65,-0.11
14/10/2003,2695.8,-0.14
15/10/2003,2692.22,-0.13
16/10/2003,2709.99,0.66
17/10/2003,2712.84,0.11
20/10/2003,2702.22,-0.39
21/10/2003,2714.18,0.44
22/10/2003,2733.71,0.72
23/10/2003,2725.14,-0.31
24/10/2003,2725.64,0.02
27/10/2003,2715.12,-0.39
28/10/2003,2711.11,-0.15
29/10/2003,2718.6,0.28
30/10/2003,2718.33,-0.01
31/10/2003,2716.68,-0.06
03/11/2003,2713.5,-0.12
04/11/2003,2717.46,0.15
05/11/2003,2724.64,0.26
07/11/2003,2730.41,0.21
10/11/2003,2730.59,0.01
11/11/2003,2735.18,0.17
12/11/2003,2752.64,0.64
13/11/2003,2765.84,0.48
14/11/2003,2792.96,0.98
17/11/2003,2771.77,-0.76
19/11/2003,2778.89,0.26
20/11/2003,2772.29,-0.24
21/11/2003,2780.99,0.31
24/11/2003,2770.38,-0.38
25/11/2003,2776.02,0.2
28/11/2003,2780.41,0.16
01/12/2003,2885.76,3.79
02/12/2003,2956.45,2.45
03/12/2003,3002.4,1.55
04/12/2003,3009.58,0.24
05/12/2003,3004.27,-0.18
08/12/2003,2999.91,-0.15
09/12/2003,3004.53,0.15
10/12/2003,2999.35,-0.17
11/12/2003,2991.26,-0.27
12/12/2003,2992.69,0.05
15/12/2003,2962.98,-0.99
16/12/2003,2962.35,-0.02
17/12/2003,2950.86,-0.39
18/12/2003,2957.89,0.24
19/12/2003,2953.36,-0.15
22/12/2003,2941.67,-0.4
23/12/2003,2935.75,-0.2
24/12/2003,2944.67,0.3
25/12/2003,2923.12,-0.73
26/12/2003,2924.64,0.05
29/12/2003,2930.85,0.21
30/12/2003,2917.57,-0.45
31/12/2003,2919.98,0.08
02/01/2004,2919.43,-0.02
05/01/2004,2916.53,-0.1
06/01/2004,2919.66,0.11
07/01/2004,2917.91,-0.06
08/01/2004,2918.21,0.01
09/01/2004,2924.42,0.21
12/01/2004,2921.79,-0.09
13/01/2004,2928.88,0.24
14/01/2004,2940.62,0.4
15/01/2004,2948.36,0.26
16/01/2004,2951.36,0.1
19/01/2004,2944.77,-0.22
20/01/2004,2945.09,0.01
21/01/2004,2945.78,0.02
22/01/2004,2960.86,0.51
23/01/2004,2955.95,-0.17
26/01/2004,2949.42,-0.22
27/01/2004,2964.81,0.52
28/01/2004,2970.45,0.19
29/01/2004,3003.41,1.11
30/01/2004,2996.38,-0.23
03/02/2004,3003.29,0.23
04/02/2004,3015.77,0.42
05/02/2004,3035.75,0.66
06/02/2004,3017.65,-0.6
09/02/2004,2992.08,-0.85
10/02/2004,2990.83,-0.04
11/02/2004,3010.61,0.66
12/02/2004,3024.43,0.46
13/02/2004,3023.59,-0.03
16/02/2004,3008.2,-0.51
17/02/2004,2972.63,-1.18
18/02/2004,2984.62,0.4
19/02/2004,3003.16,0.62
20/02/2004,3018.52,0.51
23/02/2004,3027.63,0.3
24/02/2004,3020.27,-0.24
25/02/2004,3017.49,-0.09
26/02/2004,3008.54,-0.3
27/02/2004,3005.08,-0.12
01/03/2004,3035.74,1.02
02/03/2004,3066.25,1.01
03/03/2004,3073.7,0.24
04/03/2004,3081.33,0.25
05/03/2004,3088.38,0.23
08/03/2004,3081.72,-0.22
09/03/2004,3109.33,0.9
10/03/2004,3111.14,0.06
11/03/2004,3125.4,0.46
12/03/2004,3139.87,0.46
15/03/2004,3133.8,-0.19
16/03/2004,3100.02,-1.08
17/03/2004,3088.86,-0.36
18/03/2004,3096.91,0.26
19/03/2004,3085.36,-0.37
22/03/2004,3113.58,0.91
23/03/2004,3117.71,0.13
24/03/2004,3080.48,-1.19
25/03/2004,3080.95,0.02
26/03/2004,3081.76,0.03
29/03/2004,3081.76,0.0
30/03/2004,3075.03,-0.22
31/03/2004,3067.7,-0.24
01/04/2004,3067.39,-0.01
02/04/2004,3072.45,0.16
05/04/2004,3071.0,-0.05
06/04/2004,3049.82,-0.69
07/04/2004,3069.53,0.65
08/04/2004,3089.56,0.65
09/04/2004,3080.98,-0.28
12/04/2004,3088.28,0.24
13/04/2004,3107.54,0.62
14/04/2004,3106.95,-0.02
15/04/2004,3105.69,-0.04
16/04/2004,3127.09,0.69
19/04/2004,3125.82,-0.04
20/04/2004,3127.71,0.06
21/04/2004,3132.4,0.15
22/04/2004,3118.41,-0.45
23/04/2004,3109.24,-0.29
26/04/2004,3091.91,-0.56
27/04/2004,3092.56,0.02
28/04/2004,3099.01,0.21
29/04/2004,3083.09,-0.51
30/04/2004,3076.19,-0.22
04/05/2004,3082.7,0.21
05/05/2004,3075.28,-0.24
06/05/2004,3087.23,0.39
07/05/2004,3098.39,0.36
10/05/2004,3066.91,-1.02
11/05/2004,3068.37,0.05
12/05/2004,3061.25,-0.23
13/05/2004,3053.24,-0.26
14/05/2004,3060.64,0.24
17/05/2004,3046.46,-0.46
18/05/2004,2994.99,-1.69
19/05/2004,3020.71,0.86
20/05/2004,3049.05,0.94
21/05/2004,3051.99,0.1
24/05/2004,3045.13,-0.22
25/05/2004,3053.8,0.28
26/05/2004,3069.65,0.52
27/05/2004,3078.72,0.3
28/05/2004,3079.0,0.01
31/05/2004,3090.32,0.37
01/06/2004,3071.6,-0.61
02/06/2004,3081.02,0.31
03/06/2004,3085.32,0.14
04/06/2004,3094.83,0.31
07/06/2004,3110.91,0.52
08/06/2004,3108.32,-0.08
09/06/2004,3115.63,0.23
10/06/2004,3113.19,-0.08
11/06/2004,3100.51,-0.41
14/06/2004,3098.94,-0.05
15/06/2004,3088.9,-0.32
16/06/2004,3077.17,-0.38
17/06/2004,3071.85,-0.17
18/06/2004,3123.37,1.68
21/06/2004,3133.88,0.34
22/06/2004,3108.28,-0.82
23/06/2004,3088.82,-0.63
24/06/2004,3113.13,0.79
25/06/2004,3106.12,-0.23
28/06/2004,3032.52,-2.37
29/06/2004,3039.78,0.24
30/06/2004,3048.48,0.29
01/07/2004,3023.33,-0.83
02/07/2004,3048.29,0.83
05/07/2004,3005.24,-1.41
06/07/2004,3032.7,0.91
07/07/2004,3042.21,0.31
08/07/2004,3090.59,1.59
09/07/2004,3077.15,-0.43
12/07/2004,3066.67,-0.34
13/07/2004,3054.56,-0.39
14/07/2004,3077.73,0.76
15/07/2004,3085.44,0.25
16/07/2004,3101.7,0.53
19/07/2004,3117.64,0.51
20/07/2004,3113.07,-0.15
21/07/2004,3123.92,0.35
22/07/2004,3133.58,0.31
23/07/2004,3145.41,0.38
26/07/2004,3146.1,0.02
27/07/2004,3122.91,-0.74
28/07/2004,3133.7,0.35
29/07/2004,3098.43,-1.13
02/08/2004,3122.48,0.78
03/08/2004,3112.98,-0.3
04/08/2004,3111.35,-0.05
05/08/2004,3104.56,-0.22
06/08/2004,3100.04,-0.15
09/08/2004,3100.94,0.03
10/08/2004,3102.24,0.04
11/08/2004,3131.84,0.95
12/08/2004,3109.14,-0.72
13/08/2004,3114.64,0.18
16/08/2004,3114.15,-0.02
17/08/2004,3124.34,0.33
18/08/2004,3115.25,-0.29
19/08/2004,3130.37,0.49
23/08/2004,3134.73,0.14
24/08/2004,3135.55,0.03
25/08/2004,3130.38,-0.17
26/08/2004,3135.63,0.17
27/08/2004,3141.47,0.19
30/08/2004,3137.9,-0.11
31/08/2004,3132.8,-0.16
01/09/2004,3135.72,0.09
02/09/2004,3135.49,-0.01
03/09/2004,3131.19,-0.14
06/09/2004,3136.42,0.17
07/09/2004,3143.83,0.24
08/09/2004,3143.14,-0.02
09/09/2004,3144.03,0.03
10/09/2004,3144.71,0.02
13/09/2004,3151.23,0.21
14/09/2004,3165.34,0.45
15/09/2004,3160.84,-0.14
16/09/2004,3161.01,0.01
17/09/2004,3175.63,0.46
20/09/2004,3205.68,0.95
21/09/2004,3181.78,-0.75
22/09/2004,3185.69,0.12
23/09/2004,3174.29,-0.36
24/09/2004,3157.78,-0.52
27/09/2004,3157.8,0.0
28/09/2004,3133.71,-0.76
29/09/2004,3179.42,1.46
30/09/2004,3172.41,-0.22
01/10/2004,3145.71,-0.84
04/10/2004,3129.31,-0.52
05/10/2004,3133.02,0.12
06/10/2004,3130.95,-0.07
07/10/2004,3138.0,0.23
08/10/2004,3126.84,-0.36
11/10/2004,3133.75,0.22
12/10/2004,3131.06,-0.09
13/10/2004,3120.63,-0.33
14/10/2004,3043.61,-2.47
15/10/2004,3034.81,-0.29
18/10/2004,3041.47,0.22
19/10/2004,3050.78,0.31
20/10/2004,3046.47,-0.14
21/10/2004,3050.16,0.12
22/10/2004,2942.72,-3.52
25/10/2004,2943.37,0.02
26/10/2004,2924.27,-0.65
27/10/2004,2918.85,-0.19
28/10/2004,2852.82,-2.26
29/10/2004,2841.69,-0.39
01/11/2004,2961.07,4.2
02/11/2004,2953.13,-0.27
03/11/2004,2947.32,-0.2
04/11/2004,2893.53,-1.83
05/11/2004,2908.32,0.51
08/11/2004,2910.48,0.07
09/11/2004,2925.53,0.52
10/11/2004,2921.0,-0.16
11/11/2004,2923.07,0.07
12/11/2004,2930.54,0.26
16/11/2004,2913.78,-0.57
17/11/2004,2899.68,-0.48
19/11/2004,2922.78,0.8
22/11/2004,2875.62,-1.61
23/11/2004,2854.65,-0.73
24/11/2004,2867.3,0.44
25/11/2004,2883.56,0.57
26/11/2004,2906.24,0.79
29/11/2004,2897.05,-0.32
30/11/2004,2922.82,0.89
01/12/2004,2930.21,0.25
02/12/2004,2939.65,0.32
03/12/2004,2953.84,0.48
06/12/2004,2959.18,0.18
07/12/2004,2968.84,0.33
08/12/2004,2982.93,0.47
09/12/2004,2988.9,0.2
10/12/2004,3035.71,1.57
13/12/2004,3074.3,1.27
14/12/2004,3077.27,0.1
15/12/2004,3040.42,-1.2
16/12/2004,3060.26,0.65
17/12/2004,3067.29,0.23
20/12/2004,3052.18,-0.49
21/12/2004,3055.26,0.1
22/12/2004,3065.55,0.34
23/12/2004,3052.76,-0.42
24/12/2004,3089.22,1.19
27/12/2004,3097.93,0.28
28/12/2004,3142.25,1.43
29/12/2004,3111.23,-0.99
30/12/2004,3113.14,0.06
31/12/2004,3129.78,0.53
03/01/2005,3120.29,-0.3
04/01/2005,3115.18,-0.16
05/01/2005,3109.83,-0.17
06/01/2005,3112.75,0.09
07/01/2005,3106.01,-0.22
10/01/2005,3124.81,0.61
12/01/2005,3130.69,0.19
13/01/2005,3136.81,0.2
14/01/2005,3137.58,0.02
17/01/2005,3144.89,0.23
18/01/2005,3149.34,0.14
19/01/2005,3161.47,0.39
20/01/2005,3164.46,0.09
24/01/2005,3180.09,0.49
25/01/2005,3178.18,-0.06
26/01/2005,3182.04,0.12
27/01/2005,3204.45,0.7
28/01/2005,3211.4,0.22
31/01/2005,3213.31,0.06
01/02/2005,3212.63,-0.02
02/02/2005,3223.01,0.32
03/02/2005,3262.8,1.23
04/02/2005,3261.62,-0.04
07/02/2005,3251.24,-0.32
08/02/2005,3226.18,-0.77
09/02/2005,3240.23,0.44
11/02/2005,3255.01,0.46
14/02/2005,3260.73,0.18
15/02/2005,3269.64,0.27
16/02/2005,3276.25,0.2
17/02/2005,3282.74,0.2
18/02/2005,3260.58,-0.68
21/02/2005,3263.11,0.08
22/02/2005,3255.58,-0.23
23/02/2005,3233.25,-0.69
24/02/2005,3188.77,-1.38
25/02/2005,3223.24,1.08
28/02/2005,3225.31,0.06
01/03/2005,3239.1,0.43
02/03/2005,3194.05,-1.39
03/03/2005,3235.1,1.29
04/03/2005,3229.82,-0.16
07/03/2005,3191.99,-1.17
08/03/2005,3193.88,0.06
09/03/2005,3195.07,0.04
10/03/2005,3193.66,-0.04
11/03/2005,3238.58,1.41
14/03/2005,3237.71,-0.03
15/03/2005,3256.9,0.59
16/03/2005,3248.48,-0.26
17/03/2005,3285.78,1.15
18/03/2005,3285.93,0.0
21/03/2005,3268.31,-0.54
22/03/2005,3270.4,0.06
23/03/2005,3270.47,0.0
24/03/2005,3272.92,0.07
25/03/2005,3282.09,0.28
28/03/2005,3285.88,0.12
29/03/2005,3286.4,0.02
30/03/2005,3264.92,-0.65
31/03/2005,3269.56,0.14
01/04/2005,3265.89,-0.11
04/04/2005,3268.82,0.09
05/04/2005,3265.31,-0.11
06/04/2005,3267.56,0.07
07/04/2005,3262.76,-0.15
08/04/2005,3263.2,0.01
11/04/2005,3265.36,0.07
12/04/2005,3279.14,0.42
13/04/2005,3268.86,-0.31
14/04/2005,3285.48,0.51
15/04/2005,3288.94,0.11
18/04/2005,3281.89,-0.21
19/04/2005,3298.83,0.52
20/04/2005,3307.1,0.25
25/04/2005,3313.35,0.19
26/04/2005,3307.49,-0.18
27/04/2005,3316.97,0.29
28/04/2005,3326.86,0.3
29/04/2005,3328.89,0.06
02/05/2005,3340.28,0.34
03/05/2005,3340.55,0.01
04/05/2005,3337.16,-0.1
05/05/2005,3353.63,0.49
06/05/2005,3369.36,0.47
09/05/2005,3352.89,-0.49
10/05/2005,3375.83,0.68
11/05/2005,3375.07,-0.02
12/05/2005,3360.84,-0.42
13/05/2005,3354.44,-0.19
16/05/2005,3350.28,-0.12
17/05/2005,3352.16,0.06
18/05/2005,3347.36,-0.14
19/05/2005,3361.18,0.41
20/05/2005,3350.01,-0.33
23/05/2005,3374.11,0.72
24/05/2005,3390.5,0.49
25/05/2005,3402.59,0.36
