Date, Open, High, Low, Close
09/29/06, 159.96, 159.96, 159.96, 159.96
09/28/06, 159.71, 159.71, 159.71, 159.71
09/27/06, 158.74, 158.74, 158.74, 158.74
09/26/06, 157.98, 157.98, 157.98, 157.98
09/25/06, 157.22, 157.22, 157.22, 157.22
09/22/06, 157.58, 157.58, 157.58, 157.58
09/21/06, 158.82, 158.82, 158.82, 158.82
09/20/06, 156.59, 156.59, 156.59, 156.59
09/19/06, 157.62, 157.62, 157.62, 157.62
09/18/06, 159.30, 159.30, 159.30, 159.30
09/15/06, 157.45, 157.45, 157.45, 157.45
09/14/06, 158.75, 158.75, 158.75, 158.75
09/13/06, 161.34, 161.34, 161.34, 161.34
09/12/06, 161.68, 161.68, 161.68, 161.68
09/11/06, 162.66, 162.66, 162.66, 162.66
09/08/06, 166.97, 166.97, 166.97, 166.97
09/07/06, 169.04, 169.04, 169.04, 169.04
09/06/06, 170.47, 170.47, 170.47, 170.47
09/05/06, 170.65, 170.65, 170.65, 170.65
09/01/06, 169.31, 169.31, 169.31, 169.31
08/31/06, 170.88, 170.88, 170.88, 170.88
08/30/06, 168.87, 168.87, 168.87, 168.87
08/29/06, 168.94, 168.94, 168.94, 168.94
08/28/06, 170.58, 170.58, 170.58, 170.58
08/25/06, 172.64, 172.64, 172.64, 172.64
08/24/06, 172.39, 172.39, 172.39, 172.39
08/23/06, 171.71, 171.71, 171.71, 171.71
08/22/06, 172.50, 172.50, 172.50, 172.50
08/21/06, 171.58, 171.58, 171.58, 171.58
08/18/06, 169.86, 169.86, 169.86, 169.86
08/17/06, 169.02, 169.02, 169.02, 169.02
08/16/06, 172.03, 172.03, 172.03, 172.03
08/15/06, 172.09, 172.09, 172.09, 172.09
08/14/06, 171.84, 171.84, 171.84, 171.84
08/11/06, 173.55, 173.55, 173.55, 173.55
08/10/06, 176.11, 176.11, 176.11, 176.11
08/09/06, 178.84, 178.84, 178.84, 178.84
08/08/06, 176.57, 176.57, 176.57, 176.57
08/07/06, 177.23, 177.23, 177.23, 177.23
08/04/06, 177.48, 177.48, 177.48, 177.48
08/03/06, 176.28, 176.28, 176.28, 176.28
08/02/06, 179.53, 179.53, 179.53, 179.53
08/01/06, 177.42, 177.42, 177.42, 177.42
07/31/06, 178.03, 178.03, 178.03, 178.03
07/28/06, 174.33, 174.33, 174.33, 174.33
07/27/06, 173.66, 173.66, 173.66, 173.66
